"FileName","BAGI"
"s2lam001_230713_2023-07-18_10-30.WAV","I"
"s2lam001_230713_2023-07-14_23-00.WAV","I"
"s2lam003_230807_2023-08-07_11-30.WAV","I"
"s2lam003_230807_2023-08-07_12-40.WAV","I"
"s2lam002_230807_2023-08-11_11-00.WAV","I"
"s2lam002_230807_2023-08-11_10-40.WAV","I"
"s2lam002_230807_2023-08-11_12-20.WAV","I"
"s2lam002_230807_2023-08-11_14-00.WAV","I"
"s2lam002_230807_2023-08-11_15-40.WAV","I"
"s2lam002_230807_2023-08-14_12-40.WAV","I"
"s2lam002_230807_2023-08-11_10-50.WAV","I"
"s2lam002_230807_2023-08-08_12-40.WAV","I"
"s2lam002_230807_2023-08-08_13-20.WAV","I"
"s2lam003_230807_2023-08-14_10-40.WAV","I"
"s2lam003_230807_2023-08-14_09-50.WAV","I"
"s2lam003_230807_2023-08-14_07-20.WAV","I"
"s2lam003_230807_2023-08-14_07-00.WAV","I"
"s2lam003_230807_2023-08-14_07-40.WAV","I"
"s2lam003_230807_2023-08-13_15-50.WAV","I"
"s2lam003_230807_2023-08-13_14-10.WAV","I"
"s2lam003_230807_2023-08-13_11-30.WAV","I"
"s2lam003_230807_2023-08-13_14-00.WAV","I"
"s2lam003_230807_2023-08-13_07-50.WAV","I"
"s2lam003_230807_2023-08-11_15-00.WAV","I"
"s2lam016_230718_2023-07-22_08-30.WAV","I"
"s2lam016_230718_2023-07-22_07-30.WAV","I"
"s2lam016_230718_2023-07-22_06-50.WAV","I"
"s2lam016_230718_2023-07-21_08-30.WAV","I"
"s2lam016_230718_2023-07-20_16-30.WAV","I"
"s2lam016_230718_2023-07-20_08-00.WAV","I"
"s2lam016_230718_2023-07-20_04-10.WAV","I"
"s2lam016_230829_2023-09-05_16-40.WAV","I"
"s2lam016_230829_2023-09-05_16-30.WAV","I"
"s2lam016_230829_2023-09-05_16-20.WAV","I"
"s2lam016_230829_2023-09-05_16-10.WAV","I"
"s2lam016_230829_2023-09-05_16-00.WAV","I"
"s2lam016_230829_2023-09-05_15-50.WAV","I"
"s2lam016_230829_2023-09-05_15-40.WAV","I"
"s2lam016_230829_2023-09-05_15-30.WAV","I"
"s2lam016_230829_2023-09-05_15-00.WAV","I"
"s2lam016_230829_2023-09-05_14-50.WAV","I"
"s2lam016_230829_2023-09-05_14-40.WAV","I"
"s2lam016_230829_2023-09-05_14-30.WAV","I"
"s2lam016_230829_2023-09-05_14-20.WAV","I"
"s2lam016_230829_2023-09-05_13-50.WAV","I"
"s2lam016_230829_2023-09-05_15-10.WAV","I"
"s2lam016_230829_2023-09-05_08-20.WAV","I"
"s2lam016_230829_2023-09-04_16-50.WAV","I"
"s2lam016_230829_2023-09-04_16-20.WAV","I"
"s2lam016_230829_2023-09-04_15-50.WAV","I"
"s2lam016_230829_2023-09-04_16-30.WAV","I"
"s2lam016_230829_2023-09-04_16-00.WAV","I"
"s2lam016_230829_2023-09-04_14-30.WAV","I"
"s2lam016_230829_2023-09-04_15-40.WAV","I"
"s2lam016_230829_2023-09-04_15-30.WAV","I"
"s2lam016_230829_2023-09-04_15-20.WAV","I"
"s2lam016_230829_2023-09-04_14-40.WAV","I"
"s2lam016_230829_2023-09-04_13-40.WAV","I"
"s2lam016_230829_2023-09-04_13-10.WAV","I"
"s2lam016_230829_2023-09-03_15-30.WAV","I"
"s2lam016_230829_2023-09-03_07-50.WAV","I"
"s2lam016_230829_2023-09-01_13-40.WAV","I"
"s2lam016_230829_2023-09-01_07-50.WAV","I"
"s2lam016_230829_2023-08-31_08-20.WAV","I"
"s2lam016_230829_2023-08-29_09-40.WAV","I"
"s2lam017_230807_2023-08-14_14-50.WAV","I"
"s2lam017_230807_2023-08-14_14-40.WAV","I"
"s2lam017_230807_2023-08-14_14-10.WAV","I"
"s2lam017_230807_2023-08-14_14-00.WAV","I"
"s2lam017_230807_2023-08-13_11-40.WAV","I"
"s2lam017_230807_2023-08-13_12-40.WAV","I"
"s2lam017_230807_2023-08-12_14-50.WAV","I"
"s2lam017_230807_2023-08-12_14-40.WAV","I"
"s2lam017_230807_2023-08-12_13-40.WAV","I"
"s2lam017_230807_2023-08-12_07-30.WAV","I"
"s2lam017_230807_2023-08-12_15-10.WAV","I"
"s2lam017_230807_2023-08-12_15-20.WAV","I"
"s2lam017_230807_2023-08-09_16-50.WAV","I"
"s2lam017_230807_2023-08-09_16-20.WAV","I"
"s2lam017_230807_2023-08-09_16-10.WAV","I"
"s2lam017_230807_2023-08-09_15-40.WAV","I"
"s2lam017_230807_2023-08-08_07-00.WAV","I"
"s2lam017_230807_2023-08-08_06-00.WAV","I"
"s2lam017_230807_2023-08-08_07-40.WAV","I"
"s2lam017_230807_2023-08-07_16-50.WAV","I"
"s2lam017_230807_2023-08-09_15-50.WAV","I"
"s2lam026_230822_2023-08-22_14-40.WAV","I"
"s2lam026_230822_2023-08-26_13-30.WAV","I"
"s2lam026_230822_2023-08-26_15-40.WAV","I"
"s2lam026_230822_2023-08-26_11-20.WAV","I"
"s2lam026_230822_2023-08-25_07-00.WAV","I"
"s2lam026_230822_2023-08-25_06-40.WAV","I"
"s2lam026_230822_2023-08-24_15-50.WAV","I"
"s2lam026_230822_2023-08-24_11-00.WAV","I"
"s2lam026_230822_2023-08-23_12-40.WAV","I"
"s2lam026_230822_2023-08-23_04-20.WAV","I"
"s2lam029_230726_2023-08-01_09-30.WAV","I"
"s2lam029_230726_2023-08-01_09-40.WAV","I"
"s2lam029_230726_2023-08-01_09-00.WAV","I"
"s2lam029_230726_2023-08-01_06-50.WAV","I"
"s2lam029_230726_2023-07-30_11-00.WAV","I"
"s2lam029_230726_2023-07-29_12-30.WAV","I"
"s2lam029_230726_2023-07-29_10-30.WAV","I"
"s2lam029_230726_2023-07-28_10-40.WAV","I"
"s2lam029_230726_2023-07-27_08-00.WAV","I"
"s2lam032_230726_2023-08-02_09-20.WAV","I"
"s2lam032_230726_2023-08-01_16-40.WAV","I"
"s2lam032_230726_2023-08-01_15-00.WAV","I"
"s2lam032_230726_2023-08-01_14-20.WAV","I"
"s2lam032_230726_2023-08-01_12-50.WAV","I"
"s2lam032_230726_2023-08-01_11-40.WAV","I"
"s2lam032_230726_2023-08-01_11-10.WAV","I"
"s2lam032_230726_2023-08-01_07-30.WAV","I"
"s2lam032_230726_2023-07-31_10-00.WAV","I"
"s2lam032_230726_2023-07-31_11-00.WAV","I"
"s2lam032_230726_2023-07-31_09-30.WAV","I"
"s2lam032_230726_2023-07-31_09-40.WAV","I"
"s2lam032_230726_2023-07-30_04-40.WAV","I"
"s2lam032_230726_2023-07-29_16-20.WAV","I"
"s2lam038_230819_2023-08-24_07-50.WAV","I"
"s2lam038_230819_2023-08-24_08-00.WAV","I"
"s2lam038_230819_2023-08-23_09-20.WAV","I"
"s2lam038_230819_2023-08-22_16-00.WAV","I"
"s2lam038_230819_2023-08-19_15-00.WAV","I"
"s2lam038_230819_2023-08-19_10-00.WAV","I"
"s2lam038_230819_2023-08-19_10-40.WAV","I"
"s2lam040_230818_2023-08-21_07-00.WAV","I"
"s2lam040_230818_2023-08-21_14-20.WAV","I"
"s2lam040_230818_2023-08-22_11-00.WAV","I"
"s2lam040_230818_2023-08-23_13-40.WAV","I"
"s2lam040_230818_2023-08-20_08-50.WAV","I"
"s2lam040_230818_2023-08-19_08-10.WAV","I"
"s2lam042_230710_2023-07-13_11-50.WAV","I"
"s2lam042_230710_2023-07-13_11-30.WAV","I"
"s2lam042_230710_2023-07-13_06-30.WAV","I"
"s2lam042_230710_2023-07-12_11-30.WAV","I"
"s2lam042_230710_2023-07-12_07-40.WAV","I"
"s2lam042_230710_2023-07-11_16-20.WAV","I"
"s2lam042_230710_2023-07-11_15-40.WAV","I"
"s2lam042_230710_2023-07-11_09-10.WAV","I"
"s2lam046_230705_2023-07-13_18-50.WAV","I"
"s2lam047_230807_2023-08-15_11-20.WAV","I"
"s2lam047_230807_2023-08-15_10-50.WAV","I"
"s2lam047_230807_2023-08-15_11-10.WAV","I"
"s2lam047_230807_2023-08-15_10-40.WAV","I"
"s2lam047_230807_2023-08-15_08-50.WAV","I"
"s2lam047_230807_2023-08-15_07-20.WAV","I"
"s2lam047_230807_2023-08-15_07-00.WAV","I"
"s2lam047_230807_2023-08-15_07-10.WAV","I"
"s2lam047_230807_2023-08-14_16-40.WAV","I"
"s2lam047_230807_2023-08-14_15-30.WAV","I"
"s2lam047_230807_2023-08-14_07-00.WAV","I"
"s2lam049_230815_2023-08-23_06-00.WAV","I"
"s2lam049_230815_2023-08-23_05-20.WAV","I"
"s2lam049_230815_2023-08-22_14-30.WAV","I"
"s2lam049_230815_2023-08-22_12-10.WAV","I"
"s2lam049_230815_2023-08-21_13-40.WAV","I"
