"recording","species","x1","x2","subtype","general"
"s2lam091_220920_2022-10-01_06-50.WAV","sp6",23.7973333333333,24.208,"Amphibians","Biophony"
"s2lam038_231103_2023-11-07_17-10.WAV","sp6",11.1946666666667,11.9893333333333,"Amphibians","Biophony"
"s2lam049_230519_2023-05-27_19-40.WAV","sp6",33.6,33.68,"Amphibians","Biophony"
"s2lam003_231011_2023-10-15_16-00.WAV","sp6",49.936,50.016,"Amphibians","Biophony"
"s2lam046_220920_2022-10-01_09-40.WAV","sp6",35.072,35.44,"Amphibians","Biophony"
"s2lam085_230808_2023-08-09_13-10.WAV","sp6",37.8666666666667,38.1706666666667,"Amphibians","Biophony"
"s2lam105_231016_2023-10-18_07-10.WAV","sp6",33.76,34.3573333333333,"Amphibians","Biophony"
"s2lam049_230519_2023-05-30_18-30.WAV","sp6",26.9813333333333,27.0613333333333,"Amphibians","Biophony"
"s2lam079_231103_2023-11-07_10-10.WAV","sp6",47.1253333333333,47.9306666666667,"Amphibians","Biophony"
"s2lam046_220920_2022-10-02_09-30.WAV","sp6",40.9866666666667,41.3973333333333,"Amphibians","Biophony"
"s2lam037_231025_2023-10-30_08-40.WAV","sp6",4.432,5.00266666666667,"Amphibians","Biophony"
"s2lam128_231112_2023-11-18_09-00.WAV","sp6",41.008,41.8026666666667,"Amphibians","Biophony"
"s2lam132_231027_2023-10-30_01-40.WAV","sp6",17.504,18.0746666666667,"Amphibians","Biophony"
"s2lam001_230713_2023-07-16_16-40.WAV","sp6",14.7306666666667,14.9706666666667,"Amphibians","Biophony"
"s2lam107_231130_2023-11-30_17-40.WAV","sp6",24.768,25.5733333333333,"Amphibians","Biophony"
"s2lam003_230705_2023-07-06_20-00.WAV","sp6",55.12,55.3866666666667,"Amphibians","Biophony"
"s2lam134_231124_2023-11-24_14-50.WAV","Bufo bufo",38.96,40.8106666666667,"Amphibians","Biophony"
"s2lam038_231011_2023-10-12_09-10.WAV","sp6",27.2213333333333,27.8186666666667,"Amphibians","Biophony"
"s2lam056_230705_2023-07-08_00-10.WAV","sp6",33.3173333333333,33.552,"Amphibians","Biophony"
"s2lam057_220922_2022-09-29_08-30.WAV","sp6",16.272,16.5706666666667,"Amphibians","Biophony"
"s2lam121_231028_2023-11-03_14-50.WAV","sp6",14.0373333333333,14.8426666666667,"Amphibians","Biophony"
"s2lam058_230725_2023-07-25_18-00.WAV","sp6",52.88,53.6746666666667,"Amphibians","Biophony"
"s2lam042_231106_2023-11-06_17-50.WAV","sp6",11.2533333333333,11.824,"Amphibians","Biophony"
"s2lam002_231103_2023-11-04_07-20.WAV","sp6",42.592,43.1093333333333,"Amphibians","Biophony"
"s2lam116_231124_2023-11-27_07-50.WAV","Bufo bufo",18.6986666666667,20.5493333333333,"Amphibians","Biophony"
"s2lam045_220921_2022-09-24_13-50.flac","sp6",40.96,41.328,"Amphibians","Biophony"
"s2lam032_231106_2023-11-10_01-00.WAV","sp6",22.7626666666667,23.568,"Amphibians","Biophony"
"s2lam167_231123_2023-11-25_05-50.WAV","sp6",36.8373333333333,37.248,"Amphibians","Biophony"
